Partno,Crown - ______,Cushion - ______,Torch - ______,Force - ______,Jump - ______,Strap - ______,Politics - ______,Calf - ______,Rain - _______,Sack - ______,Cheese - ______,Cape - ______,Cook - ______,Asia - ______,There - ______,Brother - ______,Adolescent - _______,Harp - ______,Bath - ______,Brown - ______,Surgery - ______
54,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1
55,0,0,0,0,0,0,1,1,0,0,,0,0,1,1,1,0,0,1,0,0
56,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0
57,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,,,1
60,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0
61,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
62,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1
63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
65,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
66,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
67,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
68,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
69,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0
70,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
71,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
72,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
73,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
74,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0
75,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1
76,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
77,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0
78,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
79,1,1,1,1,,,1,1,0,1,,1,0,0,1,1,0,,0,0,0
80,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
81,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
82,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1
83,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0
84,,,,,,,,,,,,,,,,,,,,,
85,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
86,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1
87,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
88,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0
89,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1
90,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1
91,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0
92,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
93,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0
94,,1,,,,1,,1,,,,1,,,1,,1,1,1,1,
95,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0
96,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1
97,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
98,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1
99,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0
100,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0
101,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
102,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
103,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
104,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1
105,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
106,,0,0,1,0,0,,,,0,,,,,,1,,,1,1,
107,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1
109,1,0,0,1,,0,0,1,1,1,1,0,1,0,1,1,0,,1,0,1
110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0
