Partno,Judgement2,Crown_Jewel,Cushion_Couch,Torch_Olympic,Force_Air,Jump_Leap,Strap_Buckle,Politics_Government,Calf_Cow,Rain_Wet,Sack_Bag,Cheese_Bread,Cape_Coat,Cook_Kitchen,Asia_Africa,There_Here,Brother_Sister,Adolescent_Juvenile,Harp - Piano,Bath_Soap,Brown_Green,Surgery_Blood
100,thematic,75,50,100,75,25,75,100,100,100,100,75,50,100,100,75,100,50,50,100,25,25
101,thematic,80,60,70,70,70,50,90,80,90,60,60,70,90,90,60,100,50,50,40,100,50
102,thematic,50,70,100,40,50,50,100,80,100,40,75,50,100,75,50,100,70,30,80,100,100
103,thematic,30,40,30,80,20,40,60,40,70,80,60,50,90,20,60,70,50,40,10,30,30
104,thematic,,,,,,,,,,,,,,,,,,,,,
105,thematic,90,60,70,55,65,80,80,90,65,60,80,50,100,60,80,100,85,40,30,95,90
106,thematic,,,,,,,,,,,,,,,,,,,,,
107,thematic,78,85,85,62,90,9,78,91,92,69,8,8,74,24,80,95,80,44,21,87,59
108,thematic,75,95,85,50,100,75,95,90,85,100,95,65,95,70,75,90,100,75,50,85,95
109,thematic,100,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100
110,thematic,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,50,100,50,100,100
111,thematic,100,100,100,90,0,100,100,100,100,100,100,100,90,60,70,100,70,100,100,100,90
112,thematic,100,100,100,10,100,100,100,100,100,50,100,100,100,100,75,100,100,100,100,100,100
